problem,case,cores,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,runtime_id,algorithm_id,run_id,attempt_id
P2,009,5,ok,87425.0,0.3132245409942698,1.038316666992614,544484.0,49152.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-009-k5
P2,010,1,ok,71470.0,0.23636612499831244,0.23392633299226873,384150.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-010-k1
P2,010,2,ok,37646.0,0.2483993750065565,0.24415804198361002,432534.0,48384.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-010-k2
P2,010,3,ok,29582.0,0.25040758299292065,0.2387250000028871,432534.0,48384.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-010-k3
P2,010,4,ok,29933.0,0.22975520897307433,0.24514291700324975,480918.0,96768.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-010-k4
P2,010,5,ok,31024.0,0.24757970799691975,0.23965433400007896,529302.0,145152.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-010-k5
P2,011,1,ok,184697.0,0.2476667920127511,0.28686354201636277,606208.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-011-k1
P2,011,2,ok,92646.0,0.23530862500774674,0.2783836660091765,786432.0,180224.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-011-k2
P2,011,3,ok,69625.0,0.23923054098850116,0.3111065839766525,1687552.0,1081344.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-011-k3
P2,011,4,ok,46880.0,0.23641762501210906,0.3093038329971023,1146880.0,540672.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-011-k4
P2,011,5,ok,46777.0,0.2535345420183148,0.33069508397602476,2228224.0,1622016.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-011-k5
P2,012,1,ok,51401.0,0.2685865839885082,0.3542606249975506,554898.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-012-k1
P2,012,2,ok,21930.0,0.2734346660145093,0.34833362500648946,565842.0,10944.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-012-k2
P2,012,3,ok,17351.0,0.25593770798877813,0.33717775001423433,593490.0,38592.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-012-k3
P2,012,4,ok,13803.0,0.24598404200514778,0.3322833339916542,575634.0,20736.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-012-k4
P2,012,5,ok,12661.0,0.27093704100116156,0.350204542017309,603282.0,48384.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-012-k5
