case_id,cores,baseline_cycles,forest_m3,forest_m2,final_m3,final_m2,forest_b_over_m,final_b_over_m,forest_g,final_g,solver_wall_seconds,fifth_core_status,selected_strategy,plan_changed_vs_forest,makespan_delta_vs_forest,scheduled_copy_bytes,extra_ddr_bytes,cache_hit_rate_bytes
015,5,177362,38938,52362,38938,52362,4.554984847706611,4.554984847706611,1.3447531973907236,1.3447531973907236,0.4976289590122178,unsupported,dag_join_gap_list,False,0,2998614,2114000,0.4267963817146533
016,1,7715523,7715523,7715523,7715523,7715523,1.0,1.0,1.0,1.0,5.415718499978539,skip,stage_fork_join,False,0,393218,0,0.0
016,2,7715523,4017614,4017614,4017614,4017614,1.9204241622017446,1.9204241622017446,1.0,1.0,3.5062518329941668,skip,stage_fork_join,False,0,396874,3656,0.0
016,3,7715523,2884306,2884306,2884306,2884306,2.6750015428321405,2.6750015428321405,1.0,1.0,3.131936040997971,skip,stage_fork_join,False,0,398090,4872,0.0015367039721775702
016,4,7715523,2250332,2250332,2250332,2250332,3.428615422079942,3.428615422079942,1.0,1.0,3.783194416027982,skip,stage_fork_join,False,0,404186,10968,0.003049912214697768
016,5,7715523,1949798,1949798,1949798,1949798,3.9570883753086217,3.9570883753086217,1.0,1.0,3.8942087090108544,unsupported,stage_migration_single_cut,False,0,20392662,19999444,0.0001755037892076331
017,1,162810,111608,111608,111608,111608,1.4587663966740736,1.4587663966740736,1.0,1.0,0.4467843750026077,skip,dag_join_gap_list,False,0,938918,295056,0.17268636620366776
017,2,162810,56703,56703,56703,56703,2.871276652028993,2.871276652028993,1.0,1.0,0.4504382500308566,skip,dag_join_gap_list,False,0,1070146,426284,0.2875982956547172
017,3,162810,40602,42129,40602,42129,4.00990099009901,4.00990099009901,1.0376089847790748,1.0376089847790748,0.5038212910294533,skip,dag_join_gap_list,False,0,1519038,875176,0.3280395656922753
017,4,162810,32865,34972,32865,34972,4.953902327704244,4.953902327704244,1.0641107561235357,1.0641107561235357,0.5743157079559751,skip,dag_join_gap_list,False,0,1447614,803752,0.3236559227415346
017,5,162810,30143,30143,30143,30143,5.401254022492784,5.401254022492784,1.0,1.0,0.6586655830033123,unsupported,affine_eighth,False,0,973334,329472,0.06706531419516765
018,1,1004367,971704,971704,971704,971704,1.0336141458715824,1.0336141458715824,1.0,1.0,0.7240691249608062,skip,dag_join_gap_list,False,0,2157072,564224,0.008701471134951405
018,2,1004367,488538,489435,488538,489435,2.055862594107316,2.055862594107316,1.001836090539528,1.001836090539528,0.7942867089877836,skip,dag_join_gap_list,False,0,4267480,2674632,0.30309690898255426
018,3,1004367,331328,334156,331328,334156,3.0313375265597835,3.0313375265597835,1.0085353486575237,1.0085353486575237,0.9996663329657167,skip,dag_join_gap_list,False,0,11658264,10065416,0.30648756292999435
018,4,1004367,254155,258845,254155,258845,3.951789262457949,3.951789262457949,1.0184533060533927,1.0184533060533927,1.1595675419666804,skip,dag_join_gap_list,False,0,12594584,11001736,0.38657737622301425
018,5,1004367,198417,198417,198417,198417,5.061899938009344,5.061899938009344,1.0,1.0,1.234388459008187,unsupported,affine_eighth,False,0,6299152,4706304,0.684980552159901
019,1,81144,51676,51676,51676,51676,1.570245375029027,1.570245375029027,1.0,1.0,0.23513062502024695,skip,dag_join_gap_list,False,0,186984,0,0.0
019,2,81144,26642,26688,26642,26688,3.045717288491855,3.045717288491855,1.0017265971023197,1.0017265971023197,0.27926383301382884,skip,dag_join_gap_list,False,0,870044,683060,0.06888189291713481
019,3,81144,21684,22795,21684,22795,3.742114001106807,3.742114001106807,1.0512359343294595,1.0512359343294595,0.27326291700592265,skip,dag_join_gap_list,False,0,1041852,854868,0.17319093353822512
019,4,81144,20821,22861,20821,22861,3.8972191537390133,3.8972191537390133,1.0979780029777628,1.0979780029777628,0.30117895803414285,skip,dag_join_gap_list,False,0,1252800,1065816,0.19848535286284955
019,5,81144,19576,21398,19576,21398,4.145075602778913,4.145075602778913,1.0930731507968943,1.0930731507968943,0.31525191699620336,unsupported,dag_join_gap_list,False,0,1172440,985456,0.21700653260591687
020,1,532746,532746,532746,532746,532746,1.0,1.0,1.0,1.0,2.2811145419836976,skip,affine_eighth,False,0,2359296,0,0.0
020,2,532746,266580,266580,266580,266580,1.9984469952734638,1.9984469952734638,1.0,1.0,2.1603641670080833,skip,affine_eighth,False,0,2359296,0,0.0
020,3,532746,184495,184495,184495,184495,2.8875904496056806,2.8875904496056806,1.0,1.0,2.248081082943827,skip,affine_eighth,False,0,2359296,0,0.0
020,4,532746,145520,145520,145520,145520,3.660981308411215,3.660981308411215,1.0,1.0,2.2884187909658067,skip,affine_eighth,False,0,2359296,0,0.0
020,5,532746,111137,111137,111137,111137,4.793597091877593,4.793597091877593,1.0,1.0,2.572190082981251,unsupported,affine_eighth,False,0,2949120,589824,0.0
021,1,6567937,6349969,6349969,6349969,6349969,1.0343258368662902,1.0343258368662902,1.0,1.0,1.6127775839995593,skip,affine_eighth,False,0,39239680,35901440,0.0008536793580331228
021,2,6567937,3193634,3194570,3193634,3194570,2.0565716046359728,2.0565716046359728,1.0002930830520969,1.0002930830520969,1.3939645829959773,skip,forest_memory_order,False,0,6512640,3174400,0.21777777777777776
021,3,6567937,2140863,2140720,2140863,2140720,3.0678922471919035,3.0678922471919035,0.9999332045067807,0.9999332045067807,1.4495092500001192,skip,affine_eighth,False,0,39993344,36655104,0.14257472718646214
021,4,6567937,1550324,1550324,1550324,1550324,4.236493145948847,4.236493145948847,1.0,1.0,1.178918124991469,skip,forest_memory_order,False,0,7946240,4608000,0.0
021,5,6567937,1249380,1250168,1249380,1250168,5.256957050697146,5.256957050697146,1.0006307128335654,1.0006307128335654,1.5086052499827929,unsupported,forest_memory_order,False,0,14770176,11431936,0.5699643493761141
022,1,56780,55127,55127,55127,55127,1.0299853066555409,1.0299853066555409,1.0,1.0,0.37046504096360877,skip,dag_join_gap_list,False,0,588494,374808,0.08322178452594944
022,2,56780,28060,28060,28060,28060,2.0235210263720598,2.0235210263720598,1.0,1.0,0.4228169589769095,skip,affine_eighth,False,0,220598,6912,0.03135376408469871
022,3,56780,18462,18462,18462,18462,3.0755064456721914,3.0755064456721914,1.0,1.0,0.44650625000940636,skip,affine_eighth,False,0,227510,13824,0.0506676518710086
022,4,56780,14190,14190,14190,14190,4.0014094432699086,4.0014094432699086,1.0,1.0,0.5171805419959128,skip,affine_eighth,False,0,227510,13824,0.060801182245210326
022,5,56780,11421,11430,11421,11430,4.9715436476665795,4.9715436476665795,1.0007880220646177,1.0007880220646177,0.5764607079909183,unsupported,affine_eighth,False,0,234422,20736,0.08851098704092608
023,1,122614,78947,78981,78947,78981,1.5531179145502678,1.5531179145502678,1.000430668676454,1.000430668676454,0.3141496669850312,skip,dag_join_gap_list,False,0,992316,548872,0.09367021176419944
023,2,122614,40077,40711,40077,40711,3.059460538463458,3.059460538463458,1.0158195473713103,1.0158195473713103,0.3887474170187488,skip,dag_join_gap_list,False,0,1242150,798706,0.15277868871535233
023,3,122614,27814,29509,27814,29509,4.408355504422233,4.408355504422233,1.0609405335442583,1.0609405335442583,0.4013697089976631,skip,dag_join_gap_list,False,0,1653722,1210278,0.20970059267836846
023,4,122614,21931,21931,21931,21931,5.590898727828188,5.590898727828188,1.0,1.0,0.3975804999936372,skip,affine_eighth,False,0,724436,280992,0.35373381027360673
023,5,122614,19332,20253,19332,20253,6.3425408648872335,6.3425408648872335,1.0476412166356301,1.0476412166356301,0.4415001249872148,unsupported,affine_eighth,False,0,714068,270624,0.1980174417449691
024,1,2555343,2555343,2555343,2555343,2555343,1.0,1.0,1.0,1.0,0.9325877079972997,skip,stage_fork_join,False,0,393218,0,0.0
024,2,2555343,1331138,1331138,1331138,1331138,1.9196679833345605,1.9196679833345605,1.0,1.0,0.7736300840042531,skip,stage_fork_join,False,0,394426,1208,0.0
024,3,2555343,955894,955894,955894,955894,2.6732493351773314,2.6732493351773314,1.0,1.0,0.8010224170284346,skip,stage_fork_join,False,0,394826,1608,0.0005075884472869397
024,4,2555343,746444,746444,746444,746444,3.4233552684461257,3.4233552684461257,1.0,1.0,0.8240692079998553,skip,stage_fork_join,False,0,396842,3624,0.0010125864495681319
024,5,2555343,648482,648482,648482,648482,3.9404995049978258,3.9404995049978258,1.0,1.0,0.933532583003398,unsupported,stage_migration_single_cut,False,0,7015974,6622756,0.0001619610677985226
025,1,4863026,4703066,4703066,4703066,4703066,1.034011855245068,1.034011855245068,1.0,1.0,14.74929758295184,skip,affine_eighth,False,0,8217600,0,0.0
