case_id,cores,baseline_B,old_M,old_B_over_M,new_M,new_B_over_M,delta_B_over_M,old_extra_ddr_bytes,new_extra_ddr_bytes,delta_extra_ddr_bytes,old_spill_bytes,new_spill_bytes,old_solver_wall_s,new_solver_wall_s,old_E0_wall_s,new_E0_wall_s,old_route,new_route,new_active_cores,new_feed,new_feed_sha256
014,3,17698626,5955608,2.971758047205256,5955608,2.971758047205256,0.0,54775464,54775464,0,34989048,34989048,1.6866012499958742,1.6982103330083191,12.92765362499631,13.51215970798512,component_envelope,component_envelope,3,s01/board-feed-014-k3.json,7f30b0157536fead815faf8727282a87865d418269d085bee2a18ecf987b5384
014,4,17698626,4510101,3.924219435440581,4510101,3.924219435440581,0.0,58916760,58916760,0,29287824,29287824,1.0979517080122605,1.646086666994961,9.306773249991238,13.171305166004458,component_envelope,component_envelope,4,s01/board-feed-014-k4.json,1f3511edcdddc19013b97892a9e80c0e55afe4dfa5d281b0d1de5a90cea3b0fd
014,5,17698626,3666823,4.826692207395885,3666823,4.826692207395885,0.0,63322632,63322632,0,28088664,28088664,1.6730522919970099,1.9863262079888955,11.236176415986847,12.302873290987918,component_envelope,component_envelope,5,s01/board-feed-014-k5.json,23674a3c964fbabc4df9a8af7d65384e81104f33aae85762754d9ca26e730ccb
015,1,177362,160641,1.1040892424723452,160641,1.1040892424723452,0.0,0,0,0,0,0,0.27806158299790695,0.27411249998840503,0.2859061670023948,0.3713997080049012,component_envelope,component_envelope,1,s01/board-feed-015-k1.json,27fa8bc1665627228ec44aed35a06880415148ff4b7e5768db7e9d64a248ae98
015,2,177362,88861,1.9959487289136966,88861,1.9959487289136966,0.0,105216,105216,0,0,0,0.28456691702012904,0.25295433300198056,0.2945487920078449,0.3342429590120446,component_envelope,component_envelope,2,s01/board-feed-015-k2.json,b1c6ea1c84577addded26cf63c008a64e6aa09331c002600de55157fad13b0b0
015,3,177362,57529,3.083001616575988,57529,3.083001616575988,0.0,215040,215040,0,0,0,0.2828133750008419,0.29051712501677684,0.30354445800185204,0.37452708298224024,component_envelope,component_envelope,3,s01/board-feed-015-k3.json,cfcca10206d905e2dce0e61de0feca9c94aefe3d2df93713a38c10619b2d8e95
015,4,177362,56886,3.117849734556833,56886,3.117849734556833,0.0,231168,231168,0,0,0,0.28787608302081935,0.2675592500017956,0.2881322920147795,0.3524866670195479,component_envelope,component_envelope,4,s01/board-feed-015-k4.json,8d92a50271c7920cfbf8f8e00438a583291bb9b4b400638c8de09b7c3edb0bfe
015,5,177362,40828,4.344126579798178,40828,4.344126579798178,0.0,317952,317952,0,0,0,0.2847807499929331,0.2920445420022588,0.28455404200940393,0.3856104579754174,component_envelope,component_envelope,5,s01/board-feed-015-k5.json,c512bb784e31bc183701068865003d47aae4db83ee5cbf181725646d0a85259d
016,1,7715523,7715523,1.0,7715523,1.0,0.0,0,0,0,0,0,0.5645247920183465,0.7964300829917192,6.427759166981559,7.668204707995756,component_envelope,component_envelope,1,s01/board-feed-016-k1.json,103386667d0ce07a90f23ccb2f9f6daac926b923ae805cde88459e8ce61477ce
016,2,7715523,4027481,1.9157192796191962,4027481,1.9157192796191962,0.0,9144,9144,0,0,0,1.101328167016618,1.5841541249828879,3.829621417011367,5.075650125014363,vector_arrival,vector_arrival,2,s01/board-feed-016-k2.json,3ef3997c8f6c72b38379327ec4f5657ba6bcc094f475a10dbb3a5bc17e44a6c0
