case,cores,baseline_cycles,cache_cycles,no_cache_cycles,cache_speedup,no_cache_speedup,cache_gain,attempt_id,revision
040,4,253454.0,62640.0,72181.0,4.046200510855683,3.511367257311481,1.1523148148148148,q3-witness-full500-20260925-s59-s02-P3-040-k4-unified-attention-witness-e0,2
042,4,1686740.0,406557.0,413734.0,4.148840138037225,4.076870646357321,1.017653121210556,q3-witness-full500-20260925-s59-s02-P3-042-k4-unified-attention-witness-e0,2
044,4,154407.0,40927.0,40927.0,3.7727417108510273,3.7727417108510273,1.0,q3-witness-full500-20260925-s59-s02-P3-044-k4-unified-attention-witness-e0,2
046,4,276455.0,79330.0,79330.0,3.48487331400479,3.48487331400479,1.0,q3-witness-full500-20260925-s59-s02-P3-046-k4-unified-attention-witness-e0,2
048,4,222220.0,96571.0,96816.0,2.3011048865601476,2.2952817716079985,1.0025369935073676,q3-witness-full500-20260925-s59-s02-P3-048-k4-unified-attention-witness-e0,2
050,4,149690.0,43441.0,47539.0,3.445823070371308,3.1487831043984937,1.0943348449621326,q3-witness-full500-20260925-s59-s02-P3-050-k4-unified-attention-witness-e0,2
052,5,180301.0,34181.0,34181.0,5.274889558526667,5.274889558526667,1.0,q3-witness-full500-20260925-s59-s02-P3-052-k5-unified-attention-witness-e0,2
054,5,815051.0,145966.0,152382.0,5.583841442527712,5.348735414944022,1.043955441678199,q3-witness-full500-20260925-s59-s02-P3-054-k5-unified-attention-witness-e0,2
056,5,277285.0,58375.0,60046.0,4.750064239828694,4.617876294840622,1.0286252676659529,q3-witness-full500-20260925-s59-s02-P3-056-k5-unified-attention-witness-e0,2
058,5,4539717.0,1486031.0,1486031.0,3.054927521700422,3.054927521700422,1.0,q3-witness-full500-20260925-s59-s02-P3-058-k5-unified-attention-witness-e0,2
060,5,888789.0,178553.0,181582.0,4.977732101952921,4.894697712328314,1.0169641507003522,q3-witness-full500-20260925-s59-s02-P3-060-k5-unified-attention-witness-e0,2
063,1,1070397.0,1070589.0,1070589.0,0.9998206594687598,0.9998206594687598,1.0,q3-witness-full500-20260925-s59-s02-P3-063-k1-unified-attention-witness-e0,2
065,1,53068.0,32594.0,32594.0,1.6281524206909248,1.6281524206909248,1.0,q3-witness-full500-20260925-s59-s02-P3-065-k1-unified-attention-witness-e0,2
067,1,63834834.0,60434601.0,60434601.0,1.0562630172738297,1.0562630172738297,1.0,q3-witness-full500-20260925-s59-s02-P3-067-k1-unified-attention-witness-e0,2
069,1,25144.0,19742.0,19742.0,1.2736298247391349,1.2736298247391349,1.0,q3-witness-full500-20260925-s59-s02-P3-069-k1-unified-attention-witness-e0,2
071,1,18919.0,14543.0,14543.0,1.3009007770061198,1.3009007770061198,1.0,q3-witness-full500-20260925-s59-s02-P3-071-k1-unified-attention-witness-e0,2
073,1,10081626.0,8697220.0,9975265.0,1.1591779902083654,1.0106624736285201,1.1469486801529685,q3-witness-full500-20260925-s59-s02-P3-073-k1-unified-attention-witness-e0,2
075,1,1441809.0,1124605.0,1124605.0,1.2820581448597508,1.2820581448597508,1.0,q3-witness-full500-20260925-s59-s02-P3-075-k1-unified-attention-witness-e0,2
077,1,495320.0,433422.0,434257.0,1.1428123168643955,1.1406148893397228,1.0019265288794754,q3-witness-full500-20260925-s59-s02-P3-077-k1-unified-attention-witness-e0,2
079,1,31052251.0,29922768.0,29922768.0,1.0377466082014872,1.0377466082014872,1.0,q3-witness-full500-20260925-s59-s02-P3-079-k1-unified-attention-witness-e0,2
081,1,151795.0,151795.0,151795.0,1.0,1.0,1.0,q3-witness-full500-20260925-s59-s02-P3-081-k1-unified-attention-witness-e0,2
083,2,1057993.0,419095.0,419095.0,2.524470585428125,2.524470585428125,1.0,q3-witness-full500-20260925-s59-s02-P3-083-k2-unified-attention-witness-e0,2
085,2,3187899.0,1322089.0,1325936.0,2.411258999961425,2.404263101688166,1.002909788977898,q3-witness-full500-20260925-s59-s02-P3-085-k2-unified-attention-witness-e0,2
087,2,3974071.0,1814963.0,1817441.0,2.1896154356865676,2.1866299923903996,1.0013653170891088,q3-witness-full500-20260925-s59-s02-P3-087-k2-unified-attention-witness-e0,2
089,2,693092.0,296816.0,296816.0,2.3350897525739853,2.3350897525739853,1.0,q3-witness-full500-20260925-s59-s02-P3-089-k2-unified-attention-witness-e0,2
091,2,9186769.0,4510546.0,4510546.0,2.0367310299019232,2.0367310299019232,1.0,q3-witness-full500-20260925-s59-s02-P3-091-k2-unified-attention-witness-e0,2
093,2,74205.0,37827.0,37827.0,1.9616940280751844,1.9616940280751844,1.0,q3-witness-full500-20260925-s59-s02-P3-093-k2-unified-attention-witness-e0,2
095,2,2084853.0,535614.0,535614.0,3.8924542674388647,3.8924542674388647,1.0,q3-witness-full500-20260925-s59-s02-P3-095-k2-unified-attention-witness-e0,2
097,2,11491509.0,5309578.0,5309578.0,2.1642979912904567,2.1642979912904567,1.0,q3-witness-full500-20260925-s59-s02-P3-097-k2-unified-attention-witness-e0,2
099,2,1622999.0,801077.0,801077.0,2.02602121893401,2.02602121893401,1.0,q3-witness-full500-20260925-s59-s02-P3-099-k2-unified-attention-witness-e0,2
082,4,721041.0,167701.0,168118.0,4.299562912564624,4.288898273831475,1.0024865683567779,q3-witness-full500-20260925-s59-s03-P3-082-k4-unified-attention-witness-e0,2
002,5,261945.0,54341.0,54341.0,4.8203934414162415,4.8203934414162415,1.0,q3-witness-full500-20260925-s59-s03-P3-002-k5-unified-attention-witness-e0,2
004,5,392357.0,83440.0,83440.0,4.702265100671141,4.702265100671141,1.0,q3-witness-full500-20260925-s59-s03-P3-004-k5-unified-attention-witness-e0,2
006,5,82837.0,21118.0,25613.0,3.9225778956340562,3.2341779565064614,1.2128515957950563,q3-witness-full500-20260925-s59-s03-P3-006-k5-unified-attention-witness-e0,2
008,5,487605.0,52291.0,52291.0,9.324836013845594,9.324836013845594,1.0,q3-witness-full500-20260925-s59-s03-P3-008-k5-unified-attention-witness-e0,2
010,5,86969.0,20608.0,24256.0,4.220157220496894,3.585463390501319,1.1770186335403727,q3-witness-full500-20260925-s59-s03-P3-010-k5-unified-attention-witness-e0,2
