case_id,M1,M2_noL2,M3_cache,G_M2_over_M3,baseline_over_M3,fractional_reduction_1_minus_M3_over_M2,layered_candidate,plan_sha256,graph_sha256
075,1441809,309469,303632,1.0192239289666438,4.748540996996364,0.018861339908036068,True,cbd95eb45b7cb6ec5f02f95dcbdbbb7c46692a5018e5d54de9231286a4d54052,5c24beddea6d09e1df3c8f8843d3593b90affb117ba38450fa9bea8a8db3351c
076,6185113,1231574,1227997,1.002912873565652,5.0367492754461125,0.0029044133767033298,False,b8286d422542b618d3a6a43b010bfffbedce0db99d3b60b840e41ca45bc221ac,543a082b17fe8de0dbab92b19f27335e4c8d1db389f75251378f1f4704368307
077,495320,140934,127813,1.1026577891137834,3.875349142888439,0.09310031646018702,False,d3c8b60290e5beb501d0af3e0c34398911bf1453d02fc7008af1c7661b5c1b51,b14c3c29f9427de1db1d12c6ebf5d15914a99299298d20a908d97285947e67b6
078,2296143,477473,464886,1.0270754550577992,4.9391528245634415,0.026361700033300295,False,27ced16647ee88194f57be61b3820e4d502fb36a9a6d58bcedc0c1a03bbc7765,d30ea13a65ed4d85fd62753d3e300a04c17fdbe592b6ca19c52a3a744e4affdd
079,31052251,6075976,6075472,1.000082956517617,5.111084537958532,8.294963640409492e-05,False,e6a87bc9f900081ec453fe3e7c8a33c6eb175294fc98590743c64f7d7b99ffa6,ee341b011b5ff7f1c975fd6ba8f876217612ecd8d9e4e2127e617cecac1edad5
080,292138,110937,68814,1.6121283459761095,4.2453279855843284,0.3797019930230672,False,275f370d5f4a6d55e8f51c5c060247762cd462886252326b60b81a82becfc716,20b2fa1e14bf879ac7c5b0321f69731c8a8102bb65bbd96d7543f54f4974f98c
081,151795,31626,31626,1.0,4.799690128375388,0.0,False,eb05f41b1908ae126aa78d8c3dff9d1ce1abdef6f9fed1d3f7eb86a4f2ea6ad6,7c642799a54f8083f56c74d1e260ec010e3a83c37702770c862d722408c7a41e
082,721041,141365,139941,1.0101757169092689,5.152464252792248,0.01007321472783218,True,73ff9be0d675616a7555f276de98e73a129fb664957675bc3643ff489b20812b,f230fbc200ad75797f3024f84431d1d26f7747d6a284378ee83eabde77b7e70c
083,1057993,216899,213988,1.013603566555134,4.944169766528964,0.01342099318115808,False,e7c46f853cfc830393d4cde3160d9653c120eafcff1e30360e799e574b91f856,26bebaecfa0ed9c4bcf57127779a198c367a5576eb7b40b9c56cc343621c5549
084,2507412,254640,254640,1.0,9.84688972667295,0.0,False,c21b3284412ef6189509902cb13f04b627e04b3564f596f5bfc5a7575153062a,1af22ac8dd69090ed25be62ae1bbb18a922ce99a8cffb2be4f89e7a1234794ee
085,3187899,580245,571252,1.0157426144678705,5.580547639220519,0.015498625580573688,True,1996062affb5245557aba4f85b742b00c76957e7aa4eca02914279f7c77ce048,b63169e9cd0f21dc2da6617e7138472e95937465c703b7e4bf4dbc80125ed4f6
086,118403,40650,32662,1.244565550180638,3.625099504010777,0.19650676506765064,True,d25868c0f2d4bc3becc2a4892786b88585d083df1168faf86820e53580717f6a,ef91fda2692fd0add63db3c7f677e4e03c8d115d97db3cb959cffc62fff2434a
087,3974071,923459,794300,1.1626073272063453,5.003236812287549,0.1398643578112293,False,78e44cbae67500576f15b84f8e3c994111ba3b5ded4b7dea3bf6ddbdda8fa269,a234839f266f63270c7d42c558eabd68085d415029ce73bfac9d3fc47d58de83
088,243623,97305,85789,1.134236324004243,2.839792980452039,0.11834951955192441,False,a64aaa01bcb11624b87fb0e85c10d6654d67422d6d006975dac65a54fb5a0592,2ff71575ba33875431f54823fc1f2214e018edcfc9d568edfb7c47b0f264b825
089,693092,120500,120500,1.0,5.751800829875519,0.0,False,45362017f587d5e7b901d6599958399ddc198b41ffbe25766950942e1d9c64d5,9561e0638071147e99d937b802f61f8a67fe2b96985159c174b47a777fd6ce84
090,1178363,305364,283714,1.0763092409962145,4.153348089977936,0.07089899267759137,False,df03f671154227170d0c2b791c8a2cf9950afbfb893fbeeb8dd9a592c20fb803,a91d3ad4c40e53d5731b81b3eb72bcf922f5ef06094e860b5c5729619cb2d312
091,9186769,1832509,1802904,1.0164207301109764,5.095539751423259,0.01615544589412654,False,d182519a894c01d47f35a37bf9d868e8c2fd069ab3931d273dccde848fe54a90,6fa7e61f09003382ba36061d74d4be90ed3acbe750a3d46c3b6d1e1fc27579f3
092,4815554,831349,828965,1.0028758753385245,5.809116187052529,0.0028676283967382643,False,1147ebf6f8073f2093c7b4e98c1f68a997b88d17953347ef52a33752f1e456f7,ddb267b7178d1b240f76fb7ed508799fbc7621b45156064b2a229c5c0d90996d
093,74205,15630,15630,1.0,4.747600767754319,0.0,False,09bf610709cfc4371802277447ad85dc541f3e9a78c788304d5e770d122d9f02,3a68ca960cc21b10a94b0524f5c16d2ee4995f2e5a75e667d58099571a7cdc36
094,94892,23168,23168,1.0,4.09582182320442,0.0,False,5de64c2b4c7ec18e8dc1d529096900df339b485dd71b2f583f146beed7d1b176,06e7b0eb1eecb9a98b6691dfe5f8039c6f7b21ab0f3ea8e6a072ade002a68fec
095,2084853,216624,216624,1.0,9.62429370706847,0.0,False,8c44c765b824d6858590c3863c278a142daa60dadfcee2d05c85dbfb9d9e5792,99875b1d3025c71f87e04818e28c08915928813f495d080ae6436879f6cb540f
096,84194,20961,18812,1.1142355943015096,4.475547522857751,0.10252373455464914,False,af074d7496d04f6740a3fff60b8978f7386b508aa73b4276d42e94a70242498c,c26df1f4c6e282279a2f86c24d13be04e5c0e8b24b36149899bf7e7a91cf579a
097,11491509,2102348,2102250,1.0000466167201807,5.466290403139493,4.661454716348157e-05,False,4d92f8b096c49ea3bd085aa3a706ba2500b82d6038339c605d982a283e425734,7dc5c8ebf92052dbdd1bf59794a8fcef74e3ab3c59d5f0b4e753bf38a741ffaf
098,177430,47113,40143,1.1736292753406572,4.419948683456642,0.14794218156347505,False,b789566a34f6e46195aec4c18b3eab925e49d424de68020149352a5f850636c0,8cc92ed83866234532487abacb106e0298a00cf309ef75fa12e413bfb17d58f8
099,1622999,330918,324658,1.019281828878389,4.999103672171947,0.018917073111767824,False,7ec6be238d788f9f71ca7c80bc066526639e33ae09a947fcf029811709403b6e,6a07bc2eba4657ec873f015cb53404696202df8fe912a94340cbdc674cbd7938
100,151223,41858,33676,1.2429623470720987,4.490527378548522,0.19547039992355109,False,5b3fcc39b72ce740d7d0646c10a952924c14effa29c880e0416bbda09eddf0f0,bb78167d482a9e1663bb947945def049c2d66392c3897613ce5cb145d3a2eb19
